628949369883000832	negative
628976607420645377	negative
629023169169518592	negative
629179223232479232	negative
629186282179153920	neutral
629226490152914944	positive
629345637155360768	negative
629394528336637953	negative
629650766580609026	positive
629797991826722816	negative
630159517058142208	positive
630542330827771904	negative
630636736746422272	negative
630807124872970240	neutral
630818265799921664	positive
630909171437801472	neutral
630982270409572352	neutral
631104156187627520	negative
631223085476261890	negative
631368262979297281	positive
631521079245307904	positive
631543121407442946	negative
631696872323850240	positive
631792365590695936	negative
631842974268305408	positive
631843393971204097	positive
631936716522278912	neutral
632374683334258688	negative
632536348419690496	negative
632805868334153728	negative
632810315227467776	neutral
632949742750687232	neutral
632983468188696576	negative
633041928922132480	negative
633119630417129476	negative
633500866096574464	negative
633594289029808128	negative
633628599271190528	positive
633694793852407808	positive
633757225945665537	positive
634005885371711489	positive
634036617632546816	negative
634098901025484800	negative
634107085647511553	positive
634169076210733056	positive
634299598467678208	negative
634364883040006144	negative
634517732067778561	negative
634633252020555781	neutral
634657299680858113	negative
634709942088409088	positive
634728738941456384	positive
634877877725569025	positive
634921865916452864	negative
634926683284336640	negative
635528136743092224	negative
635658548265947136	positive
635795783099387904	positive
635914448121626624	positive
635976557098573825	positive
636062553009987584	positive
636842896524726273	negative
636861074256592896	negative
636978321222467584	negative
637025180687167488	negative
637308387353432064	neutral
637338158997180416	positive
637678387214065664	neutral
637830987108343808	negative
638219008542535680	negative
638268341052948480	positive
638390714502619136	neutral
638497802344091648	neutral
638570993397682177	positive
638618791711084544	positive
638881767542263808	positive
638971652546543616	neutral
639009525958352896	positive
639102028296376320	negative
639160139820498944	positive
639352599288877056	neutral
639451183342596096	negative
639580199303016448	positive
639716079430967296	negative
639820535917092864	positive
639902509566414848	negative
639935724033339393	positive
640261386417897473	negative
640510504159584256	positive
640668469315403776	negative
640736865499217920	negative
640740939397492736	positive
640871644844572672	negative
640987727492722688	positive
641024489870987264	positive
641295194583797765	neutral
641372287694823424	positive
641382034678661120	negative
641626118949326848	positive
641666486793203712	positive
